postal_code,region,latitude,longitude,count
M1B,Scarborough,43.805878928136416,-79.20663763702801,8
M1C,Scarborough,43.796911157601116,-79.10173221757323,5
M1E,Scarborough,43.76545198902606,-79.1896854595336,9
M1G,Scarborough,43.7682135021097,-79.21717552742616,1
M1H,Scarborough,43.7666904,-79.2386376,3
M1J,Scarborough,43.74625799086758,-79.23591484018264,2
M1K,Scarborough,43.72954119318182,-79.26343167613636,8
M1L,Scarborough,43.70861680672269,-79.2847418487395,6
M1M,Scarborough,43.72641568228106,-79.23157046843177,2
M1N,Scarborough,43.69590590476191,-79.26454361904761,5
M1P,Scarborough,43.759856691729325,-79.27065879699248,7
M1R,Scarborough,43.749765967016494,-79.30276491754123,4
M1S,Scarborough,43.7938,-79.26925745937962,5
M1T,Scarborough,43.781439285714285,-79.30375420168068,6
M1V,Scarborough,43.817141327913276,-79.28235054200542,8
M1W,Scarborough,43.79980764705882,-79.32082352941177,9
M1X,Scarborough,43.82678957345971,-79.22305165876777,2
M2H,North York,43.80137431192661,-79.35905160550459,4
M2J,North York,43.780835285285285,-79.34870900900901,8
M2K,North York,43.777621764705884,-79.38304558823529,4
M2L,North York,43.75298619631902,-79.38004018404908,2
M2M,North York,43.79135126811594,-79.41114547101449,5
M2N,North York,43.77093629736116,-79.4132495121774,14
M2R,North York,43.77913556475642,-79.4442928405029,3
M3A,North York,43.753432932692306,-79.32782211538462,9
M3C,North York,43.722655855005605,-79.34073514475693,4
M3H,North York,43.751692023809525,-79.44606571428571,7
M3J,North York,43.76175428571429,-79.48934238095238,5
M3K,North York,43.73377806122449,-79.4693443877551,1
M3L,North York,43.73590254273471,-79.51381572378213,3
M3M,North York,43.73026141304348,-79.49459347826087,5
M3N,North York,43.756459368146075,-79.5212712573707,2
M4A,North York,43.728004705882356,-79.31180392156863,1
M4B,Toronto/East York,43.70696144278607,-79.30692213930348,3
M4C,Toronto/East York,43.69050582147477,-79.3123104786546,5
M4E,Toronto/East York,43.67816946107784,-79.29493333333333,4
M4G,Toronto/East York,43.707170428015566,-79.3689214007782,3
M4H,Toronto/East York,43.70490649350649,-79.34642207792207,2
M4J,Toronto/East York,43.68589626307922,-79.33692047832587,5
M4K,Toronto/East York,43.68007696969697,-79.35135535353535,6
M4L,Toronto/East York,43.67071603206413,-79.3173877755511,5
M4M,Toronto/East York,43.66229733656174,-79.34445012106538,4
M4N,Toronto/East York,43.72648594104309,-79.39430793650794,4
M4P,Toronto/East York,43.71078974358974,-79.38984725274726,4
M4S,Toronto/East York,43.702859705882354,-79.38756647058824,6
M4T,Toronto/East York,43.68877572016461,-79.38701769547325,2
M4V,Toronto/East York,43.685906344410874,-79.40300936555892,2
M4W,Toronto/East York,43.677362058823526,-79.38089058823529,1
M4X,Toronto/East York,43.66807532467533,-79.36965584415584,5
M4Y,Toronto/East York,43.66762107279693,-79.3829264367816,3
M5A,Toronto/East York,43.65592982171799,-79.36545024311184,6
M5B,Toronto/East York,43.65920795454546,-79.37883125,2
M5C,Toronto/East York,43.651528125,-79.37619609375,2
M5E,Toronto/East York,43.648779545454545,-79.3747625,1
M5H,Toronto/East York,43.64958306451613,-79.38497338709678,2
M5J,Toronto/East York,43.640783516483516,-79.37925714285714,1
M5M,North York,43.731749743589745,-79.41785384615385,5
M5N,Toronto/East York,43.71100062305296,-79.41883800623053,2
M5P,Toronto/East York,43.69642278177458,-79.41217841726619,1
M5R,Toronto/East York,43.67374619164619,-79.40216658476659,4
M5S,Toronto/East York,43.664096261682246,-79.3990862928349,4
M5T,Toronto/East York,43.65352926136364,-79.39800142045455,3
M5V,Toronto/East York,43.645242558139536,-79.39588325581396,9
M6A,North York,43.722510447761195,-79.4445943283582,4
M6B,North York,43.70780555555555,-79.44433037037037,3
M6C,Etobicoke-York,43.69140077821012,-79.43039299610895,2
M6E,Etobicoke-York,43.68857480680062,-79.44929582689335,4
M6G,Toronto/East York,43.6680344488189,-79.42075807086614,4
M6H,Toronto/East York,43.66518602150538,-79.43651397849462,10
M6J,Toronto/East York,43.648109684210525,-79.41716421052631,8
M6K,Toronto/East York,43.642249653579675,-79.42839953810623,4
M6L,North York,43.71341940700809,-79.48777897574124,4
M6M,Etobicoke-York,43.692451457725944,-79.48036209912536,8
M6N,Etobicoke-York,43.675979015918955,-79.47841664254703,6
M6P,Toronto/East York,43.66061819923372,-79.46277662835249,6
M6R,Toronto/East York,43.64681527377522,-79.44902536023055,1
M6S,Toronto/East York,43.65358847926267,-79.48377465437788,7
M8V,Etobicoke-York,43.60713299595142,-79.49970870445344,7
M8X,Etobicoke-York,43.652589206349205,-79.51028603174603,5
M8Y,Etobicoke-York,43.633835401459855,-79.49728375912409,3
M8Z,Etobicoke-York,43.629395088676674,-79.51791950886766,2
M9A,Etobicoke-York,43.664903851444294,-79.52885887207702,5
M9B,Etobicoke-York,43.65269844444445,-79.55209455555556,3
M9C,Etobicoke-York,43.64515223274695,-79.5740550744249,7
M9L,North York,43.75796708074534,-79.56021863354037,4
M9M,North York,43.734723867069484,-79.53998580060423,1
M9N,Etobicoke-York,43.70638017817372,-79.51616414253897,1
M9P,Etobicoke-York,43.692890889370936,-79.53069023861171,3
M9R,Etobicoke-York,43.68821182994455,-79.55417781885397,4
M9V,Etobicoke-York,43.74254979079498,-79.58461603905161,8
M9W,Etobicoke-York,43.718602400835074,-79.57956252609603,7
